name,2021,2020,2019,2018,2017,2016,2015,2014,2013
北京市,332,321,318,309,304,305,306,306,291
天津市,191,185,187,189,187,182,180,181,193
河北省,738,707,679,655,630,598,578,567,563
山西省,517,518,522,512,505,503,505,499,504
内蒙古自治区,307,305,303,299,293,289,284,278,277
辽宁省,431,425,420,414,418,412,412,415,416
吉林省,263,257,251,248,244,241,239,240,243
黑龙江省,366,370,368,366,371,372,377,378,379
上海市,262,262,258,260,258,256,253,246,243
江苏省,609,585,580,578,564,571,569,567,578
浙江省,631,622,601,591,580,574,563,561,569
安徽省,679,661,667,661,662,672,666,694,698
福建省,557,550,544,538,534,533,540,542,544
江西省,544,519,496,480,475,469,460,442,436
山东省,723,682,640,620,592,580,555,544,547
河南省,970,925,889,852,813,792,770,774,776
湖北省,548,536,532,531,532,532,532,541,563
湖南省,686,660,642,626,608,579,575,580,577
广东省,1076,1035,1008,1013,1030,1031,1019,1012,1015
广西壮族自治区,521,499,490,468,460,450,445,445,453
海南省,133,127,124,119,116,109,106,104,102
重庆市,269,264,260,256,255,260,261,258,261
四川省,806,792,779,768,754,739,726,732,735
贵州省,478,471,468,466,451,437,430,438,448
云南省,616,601,547,519,509,480,465,446,440
西藏自治区,39,38,35,34,34,31,30,29,29
陕西省,453,464,471,471,473,485,488,506,511
甘肃省,363,364,376,381,384,379,386,402,428
青海省,107,106,108,105,101,106,101,102,105
宁夏回族自治区,70,68,65,65,63,62,62,61,62
新疆维吾尔自治区,300,316,336,343,355,354,357,363,366
